,id,full_name
682,76345,Bob Carney
683,200760,Rodney Carney
684,76346,Bob Carpenter
685,156,Antoine Carr
686,76348,Austin Carr
687,713,Chris Carr
688,1757,Cory Carr
689,76350,Kenny Carr
690,76351,M.L. Carr
691,76352,Bob Carrington
692,201960,DeMarre Carroll
693,76353,Joe Barry Carroll
694,2679,Matt Carroll
695,1131,Jimmy Carruth
696,1853,Anthony Carter
697,76355,Butch Carter
698,76356,Fred Carter
699,76357,George Carter
700,76358,Howard Carter
701,76359,Jake Carter
702,1628975,Jevon Carter
703,2466,Maurice Carter
704,76360,Reggie Carter
705,76361,Ron Carter
706,1713,Vince Carter
707,1628976,Wendell Carter Jr.
708,203487,Michael Carter-Williams
709,76362,Bill Cartwright
710,76363,Jay Carty
711,1627936,Alex Caruso
712,76364,Cornelius Cash
713,208,Sam Cassell
714,201956,Omri Casspi
715,1630658,Colin Castleton
716,76365,Harvey Catchings
717,767,Terry Catledge
718,76367,Sid Catlett
719,1509,Kelvin Cato
720,76368,Bobby Cattage
721,1626161,Willie Cauley-Stein
722,1628505,Troy Caupain
723,190,Duane Causwell
724,1628463,Tyler Cavanaugh
725,76370,Ron Cavenall
726,1629958,Ahmad Caver
727,1630608,Malcolm Cazalon
728,76,Cedric Ceballos
729,1911,John Celestand
730,76373,Al Cervi
731,2763,Lionel Chalmers
732,201596,Mario Chalmers
733,76374,Bill Chamberlain
734,76375,Wilt Chamberlain
735,76376,Jerry Chambers
736,1472,Tom Chambers
737,1630577,Julian Champagnie
738,1630551,Justin Champagnie
739,76378,Mike Champion
740,1631113,Kennedy Chandler
741,2199,Tyson Chandler
742,201163,Wilson Chandler
743,76379,Don Chaney
744,76380,John Chaney
745,364,Rex Chapman
746,76382,Len Chappell
747,76383,Ken Charles
748,76384,Lorenzo Charles
749,1629147,Joe Chealey
750,384,Calbert Cheaney
751,1629597,Zylan Cheatham
752,76385,Maurice Cheeks
753,76386,Phil Chenier
754,203805,Will Cherry
755,76387,Derrick Chievous
756,432,Pete Chilcutt
757,2735,Josh Childress
758,719,Randolph Childress
759,164,Chris Childs
760,1629185,Chris Chiozza
761,76391,Leroy Chollet
762,76392,Jim Chones
763,1627737,Marquese Chriss
764,76393,Fred Christ
765,76394,Cal Christensen
766,76395,Bob Christian
767,57,Doug Christie
768,1631108,Max Christie
769,202091,Dionte Christmas
770,1626176,Rakeem Christmas
771,203902,Semaj Christon
772,1630528,Josh Christopher
773,203565,Patrick Christopher
774,928,Robert Churchwell
775,1631321,Sidy Cissoko
776,76397,Archie Clark
777,76398,Carlos Clark
778,201947,Earl Clark
779,1629109,Gary Clark
780,203546,Ian Clark
781,1641740,Jaylen Clark
782,1721,Keon Clark
783,1629634,Brandon Clarke
784,1626262,Coty Clarke
785,203903,Jordan Clarkson
786,1628492,Gian Clavell
787,201964,Victor Claver
788,1127,Charles Claxton
789,1629651,Nic Claxton
790,2049,Speedy Claxton
791,76402,Jim Cleamons
792,2043,Mateen Cleaves
793,76403,John Clemens
794,1629598,Chris Clemons
795,1628499,Antonius Cleveland
796,76404,Nat Clifton
797,76406,Bill Closs
798,1569,Keith Closs
799,1641730,Noah Clowney
800,76407,Paul Cloyd
801,76408,Marion Cluggish
802,76409,Ben Clyde
803,1629599,Amir Coffey
804,76410,Richard Coffey
805,76411,Fred Cofield
806,715,John Coker
807,202708,Norris Cole
808,76412,Ben Coleman
809,934,Derrick Coleman
810,76413,E.C. Coleman
811,76414,Jack Coleman
812,76415,Norris Coleman
813,902,Bimbo Coles
814,2044,Jason Collier
815,76416,Art Collins
816,76418,Don Collins
817,76421,Doug Collins
818,1530,James Collins
819,2260,Jarron Collins
820,2215,Jason Collins
821,76419,Jimmy Collins
822,1628381,John Collins
823,200776,Mardy Collins
824,202395,Sherron Collins
825,1628380,Zach Collins
826,1627858,Kyle Collinsworth
827,201954,Darren Collison
828,2555,Nick Collison
829,76422,Joe Colone
830,1629045,Bonzie Colson
831,2173,Sean Colson
832,306,Steve Colter
833,1628435,Chance Comanche
834,76425,Leroy Combs
835,76426,Dallas Comegys
836,76427,Larry Comley
837,76428,Gene Conley
838,201144,Mike Conley
839,76429,Ed Conlin
840,55,Marty Conlon
841,1626192,Pat Connaughton
842,76431,Lester Conner
843,76432,Chuck Connors
844,101215,Will Conroy
845,76433,Anthony Cook
846,76434,Bert Cook
847,76438,Bobby Cook
848,2567,Brian Cook
849,201161,Daequan Cook
850,76435,Darwin Cook
851,76436,Jeff Cook
852,76437,Norm Cook
853,2241,Omar Cook
854,1626188,Quinn Cook
855,1629076,Tyler Cook
856,1628429,Charles Cooke
857,76439,David Cooke
858,76440,Joe Cooke
859,1641645,Xavier Cooks
860,204022,Jack Cooley
861,76442,Chuck Cooper
862,1030,Duane Cooper
863,76443,Joe Cooper
864,76444,Michael Cooper
865,1630536,Sharife Cooper
866,76441,Wayne Cooper
867,76446,Tom Copa
868,203142,Chris Copeland
869,76447,Hollis Copeland
870,76448,Lanard Copeland
871,895,Tyrone Corbin
872,76450,Chris Corchiani
873,76451,Ken Corley
874,76452,Ray Corley
875,1627822,Petr Cornelie
876,76453,Dave Corzine
877,76454,Larry Costello
878,1627856,Matt Costello
